Rk,Date,Age,Team,,Opponent,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,2015-10-16,16-230,Real Madrid,@,Khimki Moscow Region,L,5:40,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,1,1,2,0.6
2,2015-10-22,16-236,Real Madrid,,Crvena Zvezda Telekom Belgrade,W,18:57,1,3,.333,1,2,.500,0,0,,1,4,5,2,0,0,1,1,3,3.2
3,2015-12-03,16-278,Real Madrid,,Fenerbahce Istanbul,W,17:22,1,4,.250,0,2,.000,4,4,1.000,1,2,3,3,0,0,2,1,6,4.6
4,2015-12-11,16-286,Real Madrid,@,FC Bayern Munich,W,6:30,1,3,.333,0,2,.000,2,2,1.000,0,1,1,2,0,1,1,0,4,3.7
5,2015-12-17,16-292,Real Madrid,,Strasbourg,W,13:06,1,2,.500,0,0,,1,2,.500,0,4,4,7,0,1,1,1,3,7.0
6,2015-12-30,16-305,Real Madrid,,Brose Baskets Bamberg,W,20:16,1,2,.500,0,1,.000,0,0,,1,1,2,2,0,0,1,0,2,2.4
7,2016-01-07,16-313,Real Madrid,@,CSKA Moscow,L,13:31,4,6,.667,3,5,.600,1,1,1.000,0,5,5,0,0,0,1,1,12,9.5
8,2016-01-15,16-321,Real Madrid,,Zalgiris Kaunus,W,13:45,0,2,.000,0,1,.000,0,0,,0,1,1,4,1,1,2,2,0,0.6
9,2016-01-28,16-334,Real Madrid,,Olympiacos Piraeus,W,0:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
10,2016-02-05,16-342,Real Madrid,,Laboral Kutxa Vitoria Gasteiz,L,6:19,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,1,1,0,0,0.7
11,2016-04-14,17-046,Real Madrid,@,Fenerbahce Istanbul,L,13:42,2,4,.500,1,2,.500,5,6,.833,0,6,6,2,0,0,2,0,10,8.8
12,2016-04-19,17-051,Real Madrid,,Fenerbahce Istanbul,L,3:30,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0.0
1,2016-10-12,17-227,Real Madrid,,Olympiacos,W,17:04,2,6,.333,2,5,.400,5,5,1.000,3,2,5,3,1,0,3,2,11,9.6
2,2016-10-20,17-235,Real Madrid,@,Maccabi FOX Tel Aviv,W,16:22,0,0,,0,0,,2,2,1.000,1,3,4,2,0,0,0,1,2,4.6
3,2016-10-25,17-240,Real Madrid,,Baskonia,L,25:09,4,5,.800,2,2,1.000,5,5,1.000,0,3,3,4,1,1,1,2,15,16.7
4,2016-10-27,17-242,Real Madrid,@,EA7 Emporio Armani Milan,W,4:20,0,0,,0,0,,3,4,.750,0,2,2,0,0,0,1,1,3,1.8
5,2016-11-03,17-249,Real Madrid,,Galatasaray Odeabank,W,22:40,4,9,.444,1,5,.200,2,2,1.000,0,2,2,3,3,0,4,2,11,7.2
6,2016-11-11,17-257,Real Madrid,@,CSKA Moscow,L,21:29,3,6,.500,0,3,.000,3,4,.750,2,6,8,3,2,0,1,3,9,10.7
7,2016-11-16,17-262,Real Madrid,,Panathinaikos Superfoods,W,11:04,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,0,0,-1.7
8,2016-11-18,17-264,Real Madrid,@,FC Barcelona Lassa,W,15:18,3,4,.750,1,2,.500,1,2,.500,1,2,3,4,1,0,3,4,8,6.5
9,2016-11-24,17-270,Real Madrid,,UNICS,W,9:08,0,1,.000,0,1,.000,0,0,,1,1,2,3,0,0,1,3,0,0.2
10,2016-12-01,17-277,Real Madrid,@,Fenerbahce,L,15:29,0,4,.000,0,2,.000,0,0,,0,2,2,1,0,0,2,0,0,-3.5
